phi_s,phi_t,sigma_v,L,A,Qm,Site
33,38,255,24.5,0.131,2615,"Low-Sill Structure, Old River"
34,37.5,206,19.8,0.223,3674,"Low-Sill Structure, Old River"
33,38,223,21.5,0.131,2164,"Low-Sill Structure, Old River"
33,37.5,210,20.2,0.1468,3042,"Low-Sill Structure, Old River"
33,37,206,19.9,0.1821,2856,"Low-Sill Structure, Old River"
38,41,138,11.6,0.209,3558,"Lonesville, La."
38,40,164,13.7,0.209,3292,"Lonesville, La."
38,40,196,16.5,0.209,3923,"Lonesville, La."
35,37,158,16.2,0.105,1637,Arkansas River Project LD4
35,37,158,16.1,0.1644,2233,Arkansas River Project LD5
35,36.5,158,16.2,0.2109,2295,Arkansas River Project LD6
36.5,36.5,120,12.3,0.1654,1779,Arkansas River Project LD7
34,38,475,47.2,0.2917,5604,"Low Arrow Lake, B.C., Canada"
34,34,38,3,0.1644,712,"Ogeeches River, Ga."
35,35,72,6.1,0.1644,1735,"Ogeeches River, Ga."
35,35,100,8.9,0.1644,2491,"Ogeeches River, Ga."
36,36,131,12,0.1644,3158,"Ogeeches River, Ga."
36,36,161,15,0.1644,3825,"Ogeeches River, Ga."
35.5,36,163,15.2,0.1301,2695,"Ogeeches River, Ga."
34,38,146,11.3,0.0316,1429,"Tokyo, Japan"
35.5,35.5,89,9.1,0.0864,658,"St. Charles River, Que., Canada"
35.5,35.5,119,12.2,0.0864,882,"St. Charles River, Que., Canada"
35.5,35.5,148,15.2,0.0864,1014,"St. Charles River, Que., Canada"
35.5,35.5,178,18.3,0.0864,1281,"St. Charles River, Que., Canada"
35.5,35.5,89,9.1,0.0799,655,"St. Charles River, Que., Canada"
35.5,35.5,119,12.2,0.0799,894,"St. Charles River, Que., Canada"
35.5,35.5,148,15.2,0.0799,1113,"St. Charles River, Que., Canada"
35.5,35.5,178,18.3,0.0799,1281,"St. Charles River, Que., Canada"
31,31,134,16,0.0613,480,"Holemen Island, Drammen, Norway"
31,31,134,16,0.0316,519,"Holemen Island, Drammen, Norway"
33,33,111,12.2,0.0061,75,"Albysjon, Sweden"
39,39.5,75,7,0.0999,2439,"North Sea, The Netherlands"
